Gene symbol	chr	geneID	gene type
TEX47	chr7	ENSG00000164645	protein_coding
STEAP1	chr7	ENSG00000164647	protein_coding
CDCA7L	chr7	ENSG00000164649	protein_coding
SP8	chr7	ENSG00000164651	protein_coding
MIOS	chr7	ENSG00000164654	protein_coding
ELAPOR2	chr7	ENSG00000164659	protein_coding
USP49	chr6	ENSG00000164663	protein_coding
INTS4P1	chr7	ENSG00000164669	transcribed_unprocessed_pseudogene
SYTL3	chr6	ENSG00000164674	protein_coding
IQUB	chr7	ENSG00000164675	protein_coding
HEY1	chr8	ENSG00000164683	protein_coding
ZNF704	chr8	ENSG00000164684	protein_coding
FABP5	chr8	ENSG00000164687	protein_coding
SHH	chr7	ENSG00000164690	protein_coding
TAGAP	chr6	ENSG00000164691	protein_coding
COL1A2	chr7	ENSG00000164692	protein_coding
FNDC1	chr6	ENSG00000164694	protein_coding
CHMP4C	chr8	ENSG00000164695	protein_coding
SLC13A4	chr7	ENSG00000164707	protein_coding
PGAM2	chr7	ENSG00000164708	protein_coding
BRI3	chr7	ENSG00000164713	protein_coding
LMTK2	chr7	ENSG00000164715	protein_coding
SLC35G3	chr17	ENSG00000164729	protein_coding
CTSB	chr8	ENSG00000164733	protein_coding
SOX17	chr8	ENSG00000164736	protein_coding
SEPTIN7P5	chr7	ENSG00000164740	processed_pseudogene
DLC1	chr8	ENSG00000164741	protein_coding
ADCY1	chr7	ENSG00000164742	protein_coding
C8orf48	chr8	ENSG00000164743	protein_coding
SUN3	chr7	ENSG00000164744	protein_coding
C7orf57	chr7	ENSG00000164746	protein_coding
HNF4G	chr8	ENSG00000164749	protein_coding
PEX2	chr8	ENSG00000164751	protein_coding
RAD21	chr8	ENSG00000164754	protein_coding
SLC30A8	chr8	ENSG00000164756	protein_coding
MED30	chr8	ENSG00000164758	protein_coding
TNFRSF11B	chr8	ENSG00000164761	protein_coding
SBSPON	chr8	ENSG00000164764	protein_coding
PHKG1	chr7	ENSG00000164776	protein_coding
EN2	chr7	ENSG00000164778	protein_coding
KCNV1	chr8	ENSG00000164794	protein_coding
CSMD3	chr8	ENSG00000164796	protein_coding
SPIDR	chr8	ENSG00000164808	protein_coding
ORC5	chr7	ENSG00000164815	protein_coding
DEFA5	chr8	ENSG00000164816	protein_coding
DNAAF5	chr7	ENSG00000164818	protein_coding
DEFA4	chr8	ENSG00000164821	protein_coding
DEFA6	chr8	ENSG00000164822	protein_coding
OSGIN2	chr8	ENSG00000164823	protein_coding
DEFB1	chr8	ENSG00000164825	protein_coding
SUN1	chr7	ENSG00000164828	protein_coding
OXR1	chr8	ENSG00000164830	protein_coding
TMEM74	chr8	ENSG00000164841	protein_coding
FAM86FP	chr12	ENSG00000164845	transcribed_unprocessed_pseudogene
GPR146	chr7	ENSG00000164849	protein_coding
GPER1	chr7	ENSG00000164850	protein_coding
UNCX	chr7	ENSG00000164853	protein_coding
TMEM184A	chr7	ENSG00000164855	protein_coding
NOS3	chr7	ENSG00000164867	protein_coding
SPAG11B	chr8	ENSG00000164871	protein_coding
MICALL2	chr7	ENSG00000164877	protein_coding
CA3	chr8	ENSG00000164879	protein_coding
INTS1	chr7	ENSG00000164880	protein_coding
CDK5	chr7	ENSG00000164885	protein_coding
SLC4A2	chr7	ENSG00000164889	protein_coding
SLC7A13	chr8	ENSG00000164893	protein_coding
FASTK	chr7	ENSG00000164896	protein_coding
TMUB1	chr7	ENSG00000164897	protein_coding
FMC1	chr7	ENSG00000164898	protein_coding
GBX1	chr7	ENSG00000164900	protein_coding
PHAX	chr5	ENSG00000164902	protein_coding
ALDH7A1	chr5	ENSG00000164904	protein_coding
FOXK1	chr7	ENSG00000164916	protein_coding
COX6C	chr8	ENSG00000164919	protein_coding
OSR2	chr8	ENSG00000164920	protein_coding
YWHAZ	chr8	ENSG00000164924	protein_coding
BAALC	chr8	ENSG00000164929	protein_coding
FZD6	chr8	ENSG00000164930	protein_coding
CTHRC1	chr8	ENSG00000164932	protein_coding
SLC25A32	chr8	ENSG00000164933	protein_coding
DCAF13	chr8	ENSG00000164934	protein_coding
DCSTAMP	chr8	ENSG00000164935	protein_coding
TP53INP1	chr8	ENSG00000164938	protein_coding
INTS8	chr8	ENSG00000164941	protein_coding
VIRMA	chr8	ENSG00000164944	protein_coding
FREM1	chr9	ENSG00000164946	protein_coding
GEM	chr8	ENSG00000164949	protein_coding
PDP1	chr8	ENSG00000164951	protein_coding
TMEM67	chr8	ENSG00000164953	protein_coding
WASHC5	chr8	ENSG00000164961	protein_coding
RPP25L	chr9	ENSG00000164967	protein_coding
FAM219A	chr9	ENSG00000164970	protein_coding
SPMIP6	chr9	ENSG00000164972	protein_coding
SNAPC3	chr9	ENSG00000164975	protein_coding
MYORG	chr9	ENSG00000164976	protein_coding
NUDT2	chr9	ENSG00000164978	protein_coding
TMEM65	chr8	ENSG00000164983	protein_coding
PSIP1	chr9	ENSG00000164985	protein_coding
CCDC171	chr9	ENSG00000164989	protein_coding
UBAP1	chr9	ENSG00000165006	protein_coding
DIRAS2	chr9	ENSG00000165023	protein_coding
SYK	chr9	ENSG00000165025	protein_coding
NIPSNAP3B	chr9	ENSG00000165028	protein_coding
ABCA1	chr9	ENSG00000165029	protein_coding
NFIL3	chr9	ENSG00000165030	protein_coding
LETM2	chr8	ENSG00000165046	protein_coding
METTL2B	chr7	ENSG00000165055	protein_coding
PRKACG	chr9	ENSG00000165059	protein_coding
FXN	chr9	ENSG00000165060	protein_coding
ZMAT4	chr8	ENSG00000165061	protein_coding
NKX6-3	chr8	ENSG00000165066	protein_coding
TMEM71	chr8	ENSG00000165071	protein_coding
MAMDC2	chr9	ENSG00000165072	protein_coding
PRSS37	chr7	ENSG00000165076	protein_coding
CPA6	chr8	ENSG00000165078	protein_coding
C8orf34	chr8	ENSG00000165084	protein_coding
TMC1	chr9	ENSG00000165091	protein_coding
ALDH1A1	chr9	ENSG00000165092	protein_coding
KDM1B	chr6	ENSG00000165097	protein_coding
HGSNAT	chr8	ENSG00000165102	protein_coding
RASEF	chr9	ENSG00000165105	protein_coding
GKAP1	chr9	ENSG00000165113	protein_coding
KIF27	chr9	ENSG00000165115	protein_coding
QNG1	chr9	ENSG00000165118	protein_coding
HNRNPK	chr9	ENSG00000165119	protein_coding
SSMEM1	chr7	ENSG00000165120	protein_coding
ENSG00000165121	chr9	ENSG00000165121	transcribed_unprocessed_pseudogene
SVEP1	chr9	ENSG00000165124	protein_coding
TRPV6	chr7	ENSG00000165125	protein_coding
LLCFC1	chr7	ENSG00000165131	protein_coding
ANKS6	chr9	ENSG00000165138	protein_coding
FBP1	chr9	ENSG00000165140	protein_coding
PGAP4	chr9	ENSG00000165152	protein_coding
ZHX1	chr8	ENSG00000165156	protein_coding
CFAP47	chrX	ENSG00000165164	protein_coding
CYBB	chrX	ENSG00000165168	protein_coding
DYNLT3	chrX	ENSG00000165169	protein_coding
METTL27	chr7	ENSG00000165171	protein_coding
MID1IP1	chrX	ENSG00000165175	protein_coding
NCF1C	chr7	ENSG00000165178	unprocessed_pseudogene
SHOC1	chr9	ENSG00000165181	protein_coding
CXorf58	chrX	ENSG00000165182	protein_coding
KIAA1958	chr9	ENSG00000165185	protein_coding
PTCHD1	chrX	ENSG00000165186	protein_coding
RNF183	chr9	ENSG00000165188	protein_coding
ASB11	chrX	ENSG00000165192	protein_coding
PCDH19	chrX	ENSG00000165194	protein_coding
PIGA	chrX	ENSG00000165195	protein_coding
VEGFD	chrX	ENSG00000165197	protein_coding
OR1Q1	chr9	ENSG00000165202	protein_coding
OR1K1	chr9	ENSG00000165204	protein_coding
STRBP	chr9	ENSG00000165209	protein_coding
CLDN3	chr7	ENSG00000165215	protein_coding
GAPVD1	chr9	ENSG00000165219	protein_coding
CARD19	chr9	ENSG00000165233	protein_coding
WNK2	chr9	ENSG00000165238	protein_coding
ATP7A	chrX	ENSG00000165240	protein_coding
ZNF367	chr9	ENSG00000165244	protein_coding
NLGN4Y	chrY	ENSG00000165246	protein_coding
HDX	chrX	ENSG00000165259	protein_coding
NDUFB6	chr9	ENSG00000165264	protein_coding
AQP7	chr9	ENSG00000165269	protein_coding
NOL6	chr9	ENSG00000165271	protein_coding
AQP3	chr9	ENSG00000165272	protein_coding
TRMT10B	chr9	ENSG00000165275	protein_coding
VCP	chr9	ENSG00000165280	protein_coding
PIGO	chr9	ENSG00000165282	protein_coding
STOML2	chr9	ENSG00000165283	protein_coding
BRWD3	chrX	ENSG00000165288	protein_coding
SLITRK5	chr13	ENSG00000165300	protein_coding
MELK	chr9	ENSG00000165304	protein_coding
ARMC3	chr10	ENSG00000165309	protein_coding
OTUD1	chr10	ENSG00000165312	protein_coding
ARHGAP12	chr10	ENSG00000165322	protein_coding
FAT3	chr11	ENSG00000165323	protein_coding
DEUP1	chr11	ENSG00000165325	protein_coding
HECTD2	chr10	ENSG00000165338	protein_coding
SLC7A3	chrX	ENSG00000165349	protein_coding
FBXO33	chr14	ENSG00000165355	protein_coding
INTS6L	chrX	ENSG00000165359	protein_coding
GPR101	chrX	ENSG00000165370	protein_coding
CLDN2	chrX	ENSG00000165376	protein_coding
LRFN5	chr14	ENSG00000165379	protein_coding
LRRC18	chr10	ENSG00000165383	protein_coding
SPTSSA	chr14	ENSG00000165389	protein_coding
WRN	chr8	ENSG00000165392	protein_coding
MARCHF8	chr10	ENSG00000165406	protein_coding
TSHR	chr14	ENSG00000165409	protein_coding
CFL2	chr14	ENSG00000165410	protein_coding
SUGT1	chr13	ENSG00000165416	protein_coding
GTF2A1	chr14	ENSG00000165417	protein_coding
ZCCHC24	chr10	ENSG00000165424	protein_coding
PGM2L1	chr11	ENSG00000165434	protein_coding
PHYHIPL	chr10	ENSG00000165443	protein_coding
SLC16A9	chr10	ENSG00000165449	protein_coding
FOLR2	chr11	ENSG00000165457	protein_coding
INPPL1	chr11	ENSG00000165458	protein_coding
PHOX2A	chr11	ENSG00000165462	protein_coding
MBL2	chr10	ENSG00000165471	protein_coding
GJB2	chr13	ENSG00000165474	protein_coding
CRYL1	chr13	ENSG00000165475	protein_coding
REEP3	chr10	ENSG00000165476	protein_coding
HEPACAM	chr11	ENSG00000165478	protein_coding
SKA3	chr13	ENSG00000165480	protein_coding
MICU2	chr13	ENSG00000165487	protein_coding
DDIAS	chr11	ENSG00000165490	protein_coding
PCF11	chr11	ENSG00000165494	protein_coding
PKNOX2	chr11	ENSG00000165495	protein_coding
RPL10L	chr14	ENSG00000165496	protein_coding
LRR1	chr14	ENSG00000165501	protein_coding
RPL36AL	chr14	ENSG00000165502	protein_coding
DNAAF2	chr14	ENSG00000165506	protein_coding
DEPP1	chr10	ENSG00000165507	protein_coding
MAGEC3	chrX	ENSG00000165509	protein_coding
ZNF22-AS1	chr10	ENSG00000165511	lncRNA
ZNF22	chr10	ENSG00000165512	protein_coding
KLHDC2	chr14	ENSG00000165516	protein_coding
EML5	chr14	ENSG00000165521	protein_coding
NEMF	chr14	ENSG00000165525	protein_coding
RPUSD4	chr11	ENSG00000165526	protein_coding
ARF6	chr14	ENSG00000165527	protein_coding
TTC8	chr14	ENSG00000165533	protein_coding
TMEM63C	chr14	ENSG00000165548	protein_coding
NGB	chr14	ENSG00000165553	protein_coding
NOXRED1	chr14	ENSG00000165555	protein_coding
CDX2	chr13	ENSG00000165556	protein_coding
AMER2	chr13	ENSG00000165566	protein_coding
AKR1E2	chr10	ENSG00000165568	protein_coding
KBTBD6	chr13	ENSG00000165572	protein_coding
SSX5	chrX	ENSG00000165583	protein_coding
SSX3	chrX	ENSG00000165584	protein_coding
OTX2	chr14	ENSG00000165588	protein_coding
FAAH2	chrX	ENSG00000165591	protein_coding
DRGX	chr10	ENSG00000165606	protein_coding
NUDT5	chr10	ENSG00000165609	protein_coding
DACT1	chr14	ENSG00000165617	protein_coding
OXGR1	chr13	ENSG00000165621	protein_coding
UCMA	chr10	ENSG00000165623	protein_coding
BEND7	chr10	ENSG00000165626	protein_coding
ATP5F1C	chr10	ENSG00000165629	protein_coding
PRPF18	chr10	ENSG00000165630	protein_coding
TAF3	chr10	ENSG00000165632	protein_coding
VSTM4	chr10	ENSG00000165633	protein_coding
VDAC2	chr10	ENSG00000165637	protein_coding
SOHLH1	chr9	ENSG00000165643	protein_coding
COMTD1	chr10	ENSG00000165644	protein_coding
SLC18A2	chr10	ENSG00000165646	protein_coding
PDZD8	chr10	ENSG00000165650	protein_coding
ZNF503	chr10	ENSG00000165655	protein_coding
ABRAXAS2	chr10	ENSG00000165660	protein_coding
QSOX2	chr9	ENSG00000165661	protein_coding
FAM204A	chr10	ENSG00000165669	protein_coding
NSD1	chr5	ENSG00000165671	protein_coding
PRDX3	chr10	ENSG00000165672	protein_coding
ENOX2	chrX	ENSG00000165675	protein_coding
GHITM	chr10	ENSG00000165678	protein_coding
CLEC1B	chr12	ENSG00000165682	protein_coding
SNAPC4	chr9	ENSG00000165684	protein_coding
TMEM52B	chr12	ENSG00000165685	protein_coding
PMPCA	chr9	ENSG00000165688	protein_coding
ENTR1	chr9	ENSG00000165689	protein_coding
FRMD7	chrX	ENSG00000165694	protein_coding
AK8	chr9	ENSG00000165695	protein_coding
SPACA9	chr9	ENSG00000165698	protein_coding
TSC1	chr9	ENSG00000165699	protein_coding
GFI1B	chr9	ENSG00000165702	protein_coding
HPRT1	chrX	ENSG00000165704	protein_coding
BORCS5	chr12	ENSG00000165714	protein_coding
DIPK1B	chr9	ENSG00000165716	protein_coding
ZMYND19	chr9	ENSG00000165724	protein_coding
STOX1	chr10	ENSG00000165730	protein_coding
RET	chr10	ENSG00000165731	protein_coding
DDX21	chr10	ENSG00000165732	protein_coding
BMS1	chr10	ENSG00000165733	protein_coding
STK32C	chr10	ENSG00000165752	protein_coding
JCAD	chr10	ENSG00000165757	protein_coding
OR4K2	chr14	ENSG00000165762	protein_coding
FUNDC2	chrX	ENSG00000165775	protein_coding
PIP4P1	chr14	ENSG00000165782	protein_coding
METTL17	chr14	ENSG00000165792	protein_coding
SLC39A2	chr14	ENSG00000165794	protein_coding
NDRG2	chr14	ENSG00000165795	protein_coding
RNASE7	chr14	ENSG00000165799	protein_coding
ARHGEF40	chr14	ENSG00000165801	protein_coding
NSMF	chr9	ENSG00000165802	protein_coding
ZNF219	chr14	ENSG00000165804	protein_coding
C12orf50	chr12	ENSG00000165805	protein_coding
CASP7	chr10	ENSG00000165806	protein_coding
PPP1R36	chr14	ENSG00000165807	protein_coding
BTNL9	chr5	ENSG00000165810	protein_coding
CCDC186	chr10	ENSG00000165813	protein_coding
VWA2	chr10	ENSG00000165816	protein_coding
METTL3	chr14	ENSG00000165819	protein_coding
SALL2	chr14	ENSG00000165821	protein_coding
PRAP1	chr10	ENSG00000165828	protein_coding
TRUB1	chr10	ENSG00000165832	protein_coding
ERICH6B	chr13	ENSG00000165837	protein_coding
CYP2C19	chr10	ENSG00000165841	protein_coding
ZFYVE1	chr14	ENSG00000165861	protein_coding
SPMIP5	chr10	ENSG00000165863	protein_coding
HSPA12A	chr10	ENSG00000165868	protein_coding
SHLD2P1	chr10	ENSG00000165874	transcribed_unprocessed_pseudogene
FRAT1	chr10	ENSG00000165879	protein_coding
UBTD1	chr10	ENSG00000165886	protein_coding
ANKRD2	chr10	ENSG00000165887	protein_coding
E2F7	chr12	ENSG00000165891	protein_coding
ARHGAP42	chr11	ENSG00000165895	protein_coding
ISCA2	chr14	ENSG00000165898	protein_coding
OTOGL	chr12	ENSG00000165899	protein_coding
LARGE2	chr11	ENSG00000165905	protein_coding
PACSIN3	chr11	ENSG00000165912	protein_coding
TTC7B	chr14	ENSG00000165914	protein_coding
SLC39A13	chr11	ENSG00000165915	protein_coding
PSMC3	chr11	ENSG00000165916	protein_coding
RAPSN	chr11	ENSG00000165917	protein_coding
AGBL2	chr11	ENSG00000165923	protein_coding
TC2N	chr14	ENSG00000165929	protein_coding
CPSF2	chr14	ENSG00000165934	protein_coding
SMCO2	chr12	ENSG00000165935	protein_coding
MOAP1	chr14	ENSG00000165943	protein_coding
IFI27L1	chr14	ENSG00000165948	protein_coding
IFI27	chr14	ENSG00000165949	protein_coding
SERPINA12	chr14	ENSG00000165953	protein_coding
CLMN	chr14	ENSG00000165959	protein_coding
PDZRN4	chr12	ENSG00000165966	protein_coding
SLC6A5	chr11	ENSG00000165970	protein_coding
CCDC38	chr12	ENSG00000165972	protein_coding
NELL1	chr11	ENSG00000165973	protein_coding
PTER	chr10	ENSG00000165983	protein_coding
C1QL3	chr10	ENSG00000165985	protein_coding
CACNB2	chr10	ENSG00000165995	protein_coding
HACD1	chr10	ENSG00000165996	protein_coding
ARL5B	chr10	ENSG00000165997	protein_coding
SMCO4	chr11	ENSG00000166002	protein_coding
CEP295	chr11	ENSG00000166004	protein_coding
KCNC2	chr12	ENSG00000166006	protein_coding
TRIM51HP	chr11	ENSG00000166007	transcribed_unprocessed_pseudogene
TAF1D	chr11	ENSG00000166012	protein_coding
TRIM53BP	chr11	ENSG00000166013	unprocessed_pseudogene
ABTB2	chr11	ENSG00000166016	protein_coding
R3HCC1L	chr10	ENSG00000166024	protein_coding
AMOTL1	chr11	ENSG00000166025	protein_coding
HTRA1	chr10	ENSG00000166033	protein_coding
LIPC	chr15	ENSG00000166035	protein_coding
CEP57	chr11	ENSG00000166037	protein_coding
TCP11L2	chr12	ENSG00000166046	protein_coding
PASD1	chrX	ENSG00000166049	protein_coding
SPRED1	chr15	ENSG00000166068	protein_coding
TMCO5A	chr15	ENSG00000166069	protein_coding
GPR176	chr15	ENSG00000166073	protein_coding
JAM3	chr11	ENSG00000166086	protein_coding
IL25	chr14	ENSG00000166090	protein_coding
CMTM5	chr14	ENSG00000166091	protein_coding
ENSG00000166104	chr15	ENSG00000166104	transcribed_unprocessed_pseudogene
GLB1L3	chr11	ENSG00000166105	protein_coding
ADAMTS15	chr11	ENSG00000166106	protein_coding
SVOP	chr12	ENSG00000166111	protein_coding
SPATA19	chr11	ENSG00000166118	protein_coding
GPT2	chr16	ENSG00000166123	protein_coding
AMN	chr14	ENSG00000166126	protein_coding
RAB8B	chr15	ENSG00000166128	protein_coding
IKBIP	chr12	ENSG00000166130	protein_coding
RPUSD2	chr15	ENSG00000166133	protein_coding
HIF1AN	chr10	ENSG00000166135	protein_coding
NDUFB8	chr10	ENSG00000166136	protein_coding
ZFYVE19	chr15	ENSG00000166140	protein_coding
PPP1R14D	chr15	ENSG00000166143	protein_coding
SPINT1	chr15	ENSG00000166145	protein_coding
FBN1	chr15	ENSG00000166147	protein_coding
AVPR1A	chr12	ENSG00000166148	protein_coding
C16orf78	chr16	ENSG00000166152	protein_coding
DEPDC4	chr12	ENSG00000166153	protein_coding
LRTM2	chr12	ENSG00000166159	protein_coding
OPN1MW2	chrX	ENSG00000166160	protein_coding
BRD7	chr16	ENSG00000166164	protein_coding
CKB	chr14	ENSG00000166165	protein_coding
TRMT61A	chr14	ENSG00000166166	protein_coding
BTRC	chr10	ENSG00000166167	protein_coding
POLL	chr10	ENSG00000166169	protein_coding
BAG5	chr14	ENSG00000166170	protein_coding
DPCD	chr10	ENSG00000166171	protein_coding
LARP6	chr15	ENSG00000166173	protein_coding
API5	chr11	ENSG00000166181	protein_coding
ASPG	chr14	ENSG00000166183	protein_coding
ZNF319	chr16	ENSG00000166188	protein_coding
HPS6	chr10	ENSG00000166189	protein_coding
SENP8	chr15	ENSG00000166192	protein_coding
NOLC1	chr10	ENSG00000166197	protein_coding
ALKBH3	chr11	ENSG00000166199	protein_coding
COPS2	chr15	ENSG00000166200	protein_coding
GABRB3	chr15	ENSG00000166206	protein_coding
SPIC	chr12	ENSG00000166211	protein_coding
TBATA	chr10	ENSG00000166220	protein_coding
SGPL1	chr10	ENSG00000166224	protein_coding
FRS2	chr12	ENSG00000166225	protein_coding
CCT2	chr12	ENSG00000166226	protein_coding
PCBD1	chr10	ENSG00000166228	protein_coding
ARIH1	chr15	ENSG00000166233	protein_coding
DNAAF8	chr16	ENSG00000166246	protein_coding
CLMP	chr11	ENSG00000166250	protein_coding
SCN3B	chr11	ENSG00000166257	protein_coding
COX11	chr17	ENSG00000166260	protein_coding
ZNF202	chr11	ENSG00000166261	protein_coding
FAM227B	chr15	ENSG00000166262	protein_coding
STXBP4	chr17	ENSG00000166263	protein_coding
CYYR1	chr21	ENSG00000166265	protein_coding
CUL5	chr11	ENSG00000166266	protein_coding
MYRFL	chr12	ENSG00000166268	protein_coding
WBP1L	chr10	ENSG00000166272	protein_coding
BORCS7	chr10	ENSG00000166275	protein_coding
C2	chr6	ENSG00000166278	protein_coding
PLEKHF1	chr19	ENSG00000166289	protein_coding
TMEM100	chr17	ENSG00000166292	protein_coding
ANAPC16	chr10	ENSG00000166295	protein_coding
SMPD1	chr11	ENSG00000166311	protein_coding
APBB1	chr11	ENSG00000166313	protein_coding
SYNPO2L	chr10	ENSG00000166317	protein_coding
NUDT13	chr10	ENSG00000166321	protein_coding
C11orf65	chr11	ENSG00000166323	protein_coding
TRIM44	chr11	ENSG00000166326	protein_coding
CCDC182	chr17	ENSG00000166329	protein_coding
ILK	chr11	ENSG00000166333	protein_coding
TAF10	chr11	ENSG00000166337	protein_coding
TPP1	chr11	ENSG00000166340	protein_coding
DCHS1	chr11	ENSG00000166341	protein_coding
NETO1	chr18	ENSG00000166342	protein_coding
MSS51	chr10	ENSG00000166343	protein_coding
CYB5A	chr18	ENSG00000166347	protein_coding
USP54	chr10	ENSG00000166348	protein_coding
RAG1	chr11	ENSG00000166349	protein_coding
POTED	chr21	ENSG00000166351	protein_coding
IFTAP	chr11	ENSG00000166352	protein_coding
WDR88	chr19	ENSG00000166359	protein_coding
OR10A5	chr11	ENSG00000166363	protein_coding
OR2D2	chr11	ENSG00000166368	protein_coding
ATP9B	chr18	ENSG00000166377	protein_coding
PPFIBP2	chr11	ENSG00000166387	protein_coding
MOGAT2	chr11	ENSG00000166391	protein_coding
CYB5R2	chr11	ENSG00000166394	protein_coding
SERPINB7	chr18	ENSG00000166396	protein_coding
GARRE1	chr19	ENSG00000166398	protein_coding
SERPINB8	chr18	ENSG00000166401	protein_coding
TUB	chr11	ENSG00000166402	protein_coding
RIC3	chr11	ENSG00000166405	protein_coding
LMO1	chr11	ENSG00000166407	protein_coding
OR5P1P	chr11	ENSG00000166408	unprocessed_pseudogene
IDH3A	chr15	ENSG00000166411	protein_coding
WDR72	chr15	ENSG00000166415	protein_coding
CRABP1	chr15	ENSG00000166426	protein_coding
PLD4	chr14	ENSG00000166428	protein_coding
ZMAT1	chrX	ENSG00000166432	protein_coding
XRRA1	chr11	ENSG00000166435	protein_coding
TRIM66	chr11	ENSG00000166436	protein_coding
RNF169	chr11	ENSG00000166439	protein_coding
RPL27A	chr11	ENSG00000166441	protein_coding
DENND2B	chr11	ENSG00000166444	protein_coding
CDYL2	chr16	ENSG00000166446	protein_coding
TMEM130	chr7	ENSG00000166448	protein_coding
PRTG	chr15	ENSG00000166450	protein_coding
CENPN	chr16	ENSG00000166451	protein_coding
AKIP1	chr11	ENSG00000166452	protein_coding
ATMIN	chr16	ENSG00000166454	protein_coding
C16orf46	chr16	ENSG00000166455	protein_coding
TMEM41B	chr11	ENSG00000166471	protein_coding
PKD1L2	chr16	ENSG00000166473	protein_coding
LEO1	chr15	ENSG00000166477	protein_coding
ZNF143	chr11	ENSG00000166478	protein_coding
TMX3	chr18	ENSG00000166479	protein_coding
MFAP4	chr17	ENSG00000166482	protein_coding
WEE1	chr11	ENSG00000166483	protein_coding
MAPK7	chr17	ENSG00000166484	protein_coding
FAM86GP	chr11	ENSG00000166492	unprocessed_pseudogene
PRKCB	chr16	ENSG00000166501	protein_coding
HDGFL3	chr15	ENSG00000166503	protein_coding
NDST2	chr10	ENSG00000166507	protein_coding
MCM7	chr7	ENSG00000166508	protein_coding
CLEC3A	chr16	ENSG00000166509	protein_coding
CCDC68	chr18	ENSG00000166510	protein_coding
CLEC4E	chr12	ENSG00000166523	protein_coding
ZNF3	chr7	ENSG00000166526	protein_coding
CLEC4D	chr12	ENSG00000166527	protein_coding
ZSCAN21	chr7	ENSG00000166529	protein_coding
HSBP1P2	chr4	ENSG00000166530	processed_pseudogene
RIMKLB	chr12	ENSG00000166532	protein_coding
A2ML1	chr12	ENSG00000166535	protein_coding
BEAN1	chr16	ENSG00000166546	protein_coding
TK2	chr16	ENSG00000166548	protein_coding
TMED3	chr15	ENSG00000166557	protein_coding
SLC38A8	chr16	ENSG00000166558	protein_coding
SEC11C	chr18	ENSG00000166562	protein_coding
CPLX4	chr18	ENSG00000166569	protein_coding
GALR1	chr18	ENSG00000166573	protein_coding
TMEM135	chr11	ENSG00000166575	protein_coding
IQCD	chr12	ENSG00000166578	protein_coding
NDEL1	chr17	ENSG00000166579	protein_coding
CENPV	chr17	ENSG00000166582	protein_coding
CDH16	chr16	ENSG00000166589	protein_coding
RRAD	chr16	ENSG00000166592	protein_coding
CIAO2B	chr16	ENSG00000166595	protein_coding
CFAP52	chr17	ENSG00000166596	protein_coding
HSP90B1	chr12	ENSG00000166598	protein_coding
MC4R	chr18	ENSG00000166603	protein_coding
BLCAP	chr20	ENSG00000166619	protein_coding
SERPINB12	chr18	ENSG00000166634	protein_coding
CHRFAM7A	chr15	ENSG00000166664	protein_coding
ATF7IP2	chr16	ENSG00000166669	protein_coding
MMP10	chr11	ENSG00000166670	protein_coding
TVP23A	chr16	ENSG00000166676	protein_coding
BEX3	chrX	ENSG00000166681	protein_coding
TMPRSS5	chr11	ENSG00000166682	protein_coding
COG1	chr17	ENSG00000166685	protein_coding
PLEKHA7	chr11	ENSG00000166689	protein_coding
OR5M13P	chr11	ENSG00000166693	unprocessed_pseudogene
ZNF606	chr19	ENSG00000166704	protein_coding
ZCCHC18	chrX	ENSG00000166707	protein_coding
B2M	chr15	ENSG00000166710	protein_coding
ZNF592	chr15	ENSG00000166716	protein_coding
GOLM2	chr15	ENSG00000166734	protein_coding
HTR3A	chr11	ENSG00000166736	protein_coding
NNMT	chr11	ENSG00000166741	protein_coding
ACSM1	chr16	ENSG00000166743	protein_coding
AP1G1	chr16	ENSG00000166747	protein_coding
SLFN5	chr17	ENSG00000166750	protein_coding
CATSPER2	chr15	ENSG00000166762	protein_coding
STRCP1	chr15	ENSG00000166763	transcribed_unprocessed_pseudogene
ZNF667-AS1	chr19	ENSG00000166770	lncRNA
BMERB1	chr16	ENSG00000166780	protein_coding
MARF1	chr16	ENSG00000166783	protein_coding
SAA3P	chr11	ENSG00000166787	transcribed_unprocessed_pseudogene
SAAL1	chr11	ENSG00000166788	protein_coding
YPEL4	chr11	ENSG00000166793	protein_coding
PPIB	chr15	ENSG00000166794	protein_coding
LDHC	chr11	ENSG00000166796	protein_coding
CIAO2A	chr15	ENSG00000166797	protein_coding
LDHAL6A	chr11	ENSG00000166800	protein_coding
FAM111A	chr11	ENSG00000166801	protein_coding
PCLAF	chr15	ENSG00000166803	protein_coding
KIF7	chr15	ENSG00000166813	protein_coding
LDHD	chr16	ENSG00000166816	protein_coding
PLIN1	chr15	ENSG00000166819	protein_coding
PEX11A	chr15	ENSG00000166821	protein_coding
TMEM170A	chr16	ENSG00000166822	protein_coding
MESP1	chr15	ENSG00000166823	protein_coding
ANPEP	chr15	ENSG00000166825	protein_coding
SCNN1G	chr16	ENSG00000166828	protein_coding
RBPMS2	chr15	ENSG00000166831	protein_coding
NAV2	chr11	ENSG00000166833	protein_coding
ANKDD1A	chr15	ENSG00000166839	protein_coding
GLYATL1	chr11	ENSG00000166840	protein_coding
C18orf54	chr18	ENSG00000166845	protein_coding
DCTN5	chr16	ENSG00000166847	protein_coding
TERF2IP	chr16	ENSG00000166848	protein_coding
PLK1	chr16	ENSG00000166851	protein_coding
CLPX	chr15	ENSG00000166855	protein_coding
GPR182	chr12	ENSG00000166856	protein_coding
